country,continent,year,lifeExp,pop,gdpPercap
Japan,Asia,1997,80.69,125956499,28816.58499
Japan,Asia,2002,82,127065841,28604.5919
Japan,Asia,2007,82.603,127467972,31656.06806
"Korea, Rep.",Asia,1952,47.453,20947571,1030.592226
"Korea, Rep.",Asia,1957,52.681,22611552,1487.593537
"Korea, Rep.",Asia,1962,55.292,26420307,1536.344387
"Korea, Rep.",Asia,1967,57.716,30131000,2029.228142
"Korea, Rep.",Asia,1972,62.612,33505000,3030.87665
"Korea, Rep.",Asia,1977,64.766,36436000,4657.22102
"Korea, Rep.",Asia,1982,67.123,39326000,5622.942464
"Korea, Rep.",Asia,1987,69.81,41622000,8533.088805
"Korea, Rep.",Asia,1992,72.244,43805450,12104.27872
"Korea, Rep.",Asia,1997,74.647,46173816,15993.52796
"Korea, Rep.",Asia,2002,77.045,47969150,19233.98818
"Korea, Rep.",Asia,2007,78.623,49044790,23348.13973
Mexico,Americas,1952,50.789,30144317,3478.125529
Mexico,Americas,1957,55.19,35015548,4131.546641
Mexico,Americas,1962,58.299,41121485,4581.609385
Mexico,Americas,1967,60.11,47995559,5754.733883
Mexico,Americas,1972,62.361,55984294,6809.40669
Mexico,Americas,1977,65.032,63759976,7674.929108
Mexico,Americas,1982,67.405,71640904,9611.147541
Mexico,Americas,1987,69.498,80122492,8688.156003
Mexico,Americas,1992,71.455,88111030,9472.384295
Mexico,Americas,1997,73.67,95895146,9767.29753
Mexico,Americas,2002,74.902,102479927,10742.44053
Mexico,Americas,2007,76.195,108700891,11977.57496
Russia,Europe,1952,57.26,105967080,365.34567
Russia,Europe,1957,63.54,114913779,451.43786
Russia,Europe,1962,67.26,122858227,494.92733
Russia,Europe,1967,68.35,128187396,662.16104
Russia,Europe,1972,68.34,131539634,2091.66238
Russia,Europe,1977,67.72,135413334,2866.82734
Russia,Europe,1982,67.49,139954624,3568.87389
Russia,Europe,1987,68.80,145032888,3777.93728
Russia,Europe,1992,67.09,148268581,3099.56401
Russia,Europe,1997,65.88,147730019,2738.53063
Russia,Europe,2002,65.10,145215700,2378.28790
Russia,Europe,2007,66.70,143266212,9101.03854
Saudi Arabia,Asia,1952,39.875,4005677,6459.554823
Saudi Arabia,Asia,1957,42.868,4419650,8157.591248
Saudi Arabia,Asia,1962,45.914,4943029,11626.41975
Saudi Arabia,Asia,1967,49.901,5618198,16903.04886
Saudi Arabia,Asia,1972,53.886,6472756,24837.42865
Saudi Arabia,Asia,1977,58.69,8128505,34167.7626
Saudi Arabia,Asia,1982,63.012,11254672,33693.17525
Saudi Arabia,Asia,1987,66.295,14619745,21198.26136
Saudi Arabia,Asia,1992,68.768,16945857,24841.61777
Saudi Arabia,Asia,1997,70.533,21229759,20586.69019
Saudi Arabia,Asia,2002,71.626,24501530,19014.54118
Saudi Arabia,Asia,2007,72.777,27601038,21654.83194
South Africa,Africa,1952,45.009,14264935,4725.295531
South Africa,Africa,1957,47.985,16151549,5487.104219
South Africa,Africa,1962,49.951,18356657,5768.729717
South Africa,Africa,1967,51.927,20997321,7114.477971
South Africa,Africa,1972,53.696,23935810,7765.962636
South Africa,Africa,1977,55.527,27129932,8028.651439
South Africa,Africa,1982,58.161,31140029,8568.266228
South Africa,Africa,1987,60.834,35933379,7825.823398
South Africa,Africa,1992,61.888,39964159,7225.069258
South Africa,Africa,1997,60.236,42835005,7479.188244
South Africa,Africa,2002,53.365,44433622,7710.946444
South Africa,Africa,2007,49.339,43997828,9269.657808
Turkey,Europe,1952,43.585,22235677,1969.10098
Turkey,Europe,1957,48.079,25670939,2218.754257
Turkey,Europe,1962,52.098,29788695,2322.869908
Turkey,Europe,1967,54.336,33411317,2826.356387
Turkey,Europe,1972,57.005,37492953,3450.69638
Turkey,Europe,1977,59.507,42404033,4269.122326
Turkey,Europe,1982,61.036,47328791,4241.356344
Turkey,Europe,1987,63.108,52881328,5089.043686
Turkey,Europe,1992,66.146,58179144,5678.348271
Turkey,Europe,1997,68.835,63047647,6601.429915
Turkey,Europe,2002,70.845,67308928,6508.085718
Turkey,Europe,2007,71.777,71158647,8458.276384
United Kingdom,Europe,1952,69.18,50430000,9979.508487
United Kingdom,Europe,1957,70.42,51430000,11283.17795
United Kingdom,Europe,1962,70.76,53292000,12477.17707
United Kingdom,Europe,1967,71.36,54959000,14142.85089
United Kingdom,Europe,1972,72.01,56079000,15895.11641
United Kingdom,Europe,1977,72.76,56179000,17428.74846
United Kingdom,Europe,1982,74.04,56339704,18232.42452
United Kingdom,Europe,1987,75.007,56981620,21664.78767
United Kingdom,Europe,1992,76.42,57866349,22705.09254
United Kingdom,Europe,1997,77.218,58808266,26074.53136
United Kingdom,Europe,2002,78.471,59912431,29478.99919
United Kingdom,Europe,2007,79.425,60776238,33203.26128
United States,Americas,1952,68.44,157553000,13990.48208
United States,Americas,1957,69.49,171984000,14847.12712
United States,Americas,1962,70.21,186538000,16173.14586
United States,Americas,1967,70.76,198712000,19530.36557
United States,Americas,1972,71.34,209896000,21806.03594
United States,Americas,1977,73.38,220239000,24072.63213
United States,Americas,1982,74.65,232187835,25009.55914
United States,Americas,1987,75.02,242803533,29884.35041
United States,Americas,1992,76.09,256894189,32003.93224
United States,Americas,1997,76.81,272911760,35767.43303
United States,Americas,2002,77.31,287675526,39097.09955
United States,Americas,2007,78.242,301139947,42951.65309
