country,continent,year,lifeExp,pop,gdpPercap,HDI
Italy,Europe,1990,77.44,56840847,22013.64486,Developed
Italy,Europe,1995,78.82,57479469,24675.02446,Developed
Italy,Europe,2000,80.24,57926999,27968.09817,Developed
Italy,Europe,2005,80.546,58147733,28569.7197,Developed
Japan,Asia,1950,63.03,86459025,3216.956347,Developed
Japan,Asia,1955,65.5,91563009,4317.694365,Developed
Japan,Asia,1960,68.73,95831757,6576.649461,Developed
Japan,Asia,1965,71.43,100825279,9847.788607,Developed
Japan,Asia,1970,73.42,107188273,14778.78636,Developed
Japan,Asia,1975,75.38,113872473,16610.37701,Developed
Japan,Asia,1980,77.11,118454974,19384.10571,Developed
Japan,Asia,1985,78.67,122091325,22375.94189,Developed
Japan,Asia,1990,79.36,124329269,26824.89511,Developed
Japan,Asia,1995,80.69,125956499,28816.58499,Developed
Japan,Asia,2000,82,127065841,28604.5919,Developed
Japan,Asia,2005,82.603,127467972,31656.06806,Developed
"Korea, Rep.",Asia,1950,47.453,20947571,1030.592226,Developed
"Korea, Rep.",Asia,1955,52.681,22611552,1487.593537,Developed
"Korea, Rep.",Asia,1960,55.292,26420307,1536.344387,Developed
"Korea, Rep.",Asia,1965,57.716,30131000,2029.228142,Developed
"Korea, Rep.",Asia,1970,62.612,33505000,3030.87665,Developed
"Korea, Rep.",Asia,1975,64.766,36436000,4657.22102,Developed
"Korea, Rep.",Asia,1980,67.123,39326000,5622.942464,Developed
"Korea, Rep.",Asia,1985,69.81,41622000,8533.088805,Developed
"Korea, Rep.",Asia,1990,72.244,43805450,12104.27872,Developed
"Korea, Rep.",Asia,1995,74.647,46173816,15993.52796,Developed
"Korea, Rep.",Asia,2000,77.045,47969150,19233.98818,Developed
"Korea, Rep.",Asia,2005,78.623,49044790,23348.13973,Developed
Mexico,Americas,1950,50.789,30144317,3478.125529,Developing
Mexico,Americas,1955,55.19,35015548,4131.546641,Developing
Mexico,Americas,1960,58.299,41121485,4581.609385,Developing
Mexico,Americas,1965,60.11,47995559,5754.733883,Developing
Mexico,Americas,1970,62.361,55984294,6809.40669,Developing
Mexico,Americas,1975,65.032,63759976,7674.929108,Developing
Mexico,Americas,1980,67.405,71640904,9611.147541,Developing
Mexico,Americas,1985,69.498,80122492,8688.156003,Developing
Mexico,Americas,1990,71.455,88111030,9472.384295,Developing
Mexico,Americas,1995,73.67,95895146,9767.29753,Developing
Mexico,Americas,2000,74.902,102479927,10742.44053,Developing
Mexico,Americas,2005,76.195,108700891,11975.57496,Developing
Russia,Europe,1950,57.26,105967080,365.34567,Developing
Russia,Europe,1955,63.54,114913779,451.43786,Developing
Russia,Europe,1960,67.26,122858227,494.92733,Developing
Russia,Europe,1965,68.35,128187396,662.16104,Developing
Russia,Europe,1970,68.34,131539634,2091.66238,Developing
Russia,Europe,1975,67.72,135413334,2866.82734,Developing
Russia,Europe,1980,67.49,139954624,3568.87389,Developing
Russia,Europe,1985,68.80,145032888,3777.93728,Developing
Russia,Europe,1990,67.09,148268581,3099.56401,Developing
Russia,Europe,1995,65.88,147730019,2738.53063,Developing
Russia,Europe,2000,65.10,145215700,2378.28790,Developing
Russia,Europe,2005,66.70,143266212,9101.03854,Developing
Saudi Arabia,Asia,1950,39.875,4005677,6459.554823,Developing
Saudi Arabia,Asia,1955,42.868,4419650,8157.591248,Developing
Saudi Arabia,Asia,1960,45.914,4943029,11626.41975,Developing
Saudi Arabia,Asia,1965,49.901,5618198,16903.04886,Developing
Saudi Arabia,Asia,1970,53.886,6472756,24837.42865,Developing
Saudi Arabia,Asia,1975,58.69,8128505,34167.7626,Developing
Saudi Arabia,Asia,1980,63.012,11254672,33693.17525,Developing
Saudi Arabia,Asia,1985,66.295,14619745,21198.26136,Developing
Saudi Arabia,Asia,1990,68.768,16945857,24841.61777,Developing
Saudi Arabia,Asia,1995,70.533,21229759,20586.69019,Developing
Saudi Arabia,Asia,2000,71.626,24501530,19014.54118,Developing
Saudi Arabia,Asia,2005,72.777,27601038,21654.83194,Developing
South Africa,Africa,1950,45.009,14264935,4725.295531,Developing
South Africa,Africa,1955,47.985,16151549,5487.104219,Developing
South Africa,Africa,1960,49.951,18356657,5768.729717,Developing
South Africa,Africa,1965,51.927,20997321,7114.477971,Developing
South Africa,Africa,1970,53.696,23935810,7765.962636,Developing
South Africa,Africa,1975,55.527,27129932,8028.651439,Developing
South Africa,Africa,1980,58.161,31140029,8568.266228,Developing
South Africa,Africa,1985,60.834,35933379,7825.823398,Developing
South Africa,Africa,1990,61.888,39964159,7225.069258,Developing
South Africa,Africa,1995,60.236,42835005,7479.188244,Developing
South Africa,Africa,2000,53.365,44433622,7710.946444,Developing
South Africa,Africa,2005,49.339,43997828,9269.657808,Developing
Turkey,Europe,1950,43.585,22235677,1969.10098,Developing
Turkey,Europe,1955,48.079,25670939,2218.754257,Developing
Turkey,Europe,1960,52.098,29788695,2322.869908,Developing
Turkey,Europe,1965,54.336,33411317,2826.356387,Developing
Turkey,Europe,1970,57.005,37492953,3450.69638,Developing
Turkey,Europe,1975,59.507,42404033,4269.122326,Developing
Turkey,Europe,1980,61.036,47328791,4241.356344,Developing
Turkey,Europe,1985,63.108,52881328,5089.043686,Developing
Turkey,Europe,1990,66.146,58179144,5678.348271,Developing
Turkey,Europe,1995,68.835,63047647,6601.429915,Developing
Turkey,Europe,2000,70.845,67308928,6508.085718,Developing
Turkey,Europe,2005,71.777,71158647,8458.276384,Developing
United Kingdom,Europe,1950,69.18,50430000,9979.508487,Developed
United Kingdom,Europe,1955,70.42,51430000,11283.17795,Developed
United Kingdom,Europe,1960,70.76,53292000,12477.17707,Developed
United Kingdom,Europe,1965,71.36,54959000,14142.85089,Developed
United Kingdom,Europe,1970,72.01,56079000,15895.11641,Developed
United Kingdom,Europe,1975,72.76,56179000,17428.74846,Developed
United Kingdom,Europe,1980,74.04,56339704,18232.42452,Developed
United Kingdom,Europe,1985,75.007,56981620,21664.78767,Developed
United Kingdom,Europe,1990,76.42,57866349,22705.09254,Developed
United Kingdom,Europe,1995,77.218,58808266,26074.53136,Developed
United Kingdom,Europe,2000,78.471,59912431,29478.99919,Developed
United Kingdom,Europe,2005,79.425,60776238,33203.26128,Developed
United States,Americas,1950,68.44,157553000,13990.48208,Developed
United States,Americas,1955,69.49,171984000,14847.12712,Developed
United States,Americas,1960,70.21,186538000,16173.14586,Developed
United States,Americas,1965,70.76,198512000,19530.36557,Developed
United States,Americas,1970,71.34,209896000,21806.03594,Developed
United States,Americas,1975,73.38,220239000,24072.63213,Developed
United States,Americas,1980,74.65,232187835,25009.55914,Developed
United States,Americas,1985,75.02,242803533,29884.35041,Developed
United States,Americas,1990,76.09,256894189,32003.93224,Developed
United States,Americas,1995,76.81,272911760,35767.43303,Developed
United States,Americas,2000,77.31,287675526,39097.09955,Developed
United States,Americas,2005,78.242,301139947,42951.65309,Developed
